SEXO;IDADE;RENDA;PERFIL_CONSUMIDOR_A;PERFIL_CONSUMIDOR_B;PERFIL_CONSUMIDOR_C;ESTADO_CIVIL_CASADO(A);ESTADO_CIVIL_DESQUITADO(A);ESTADO_CIVIL_DIVORCIADO(A);ESTADO_CIVIL_OUTROS;ESTADO_CIVIL_SEPARADO(A) JUDICIALMENTE;ESTADO_CIVIL_SOLTEIRO(A);AREA_CBO_0;AREA_CBO_1;AREA_CBO_2;AREA_CBO_3;AREA_CBO_4;AREA_CBO_5;AREA_CBO_6;AREA_CBO_7;AREA_CBO_8;AREA_CBO_9
1;0.5090456171485633;0.5645945990145423;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
0;0.04703827785639956;-0.2292326124644354;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0
0;-1.1541808043032262;-0.9375681556294367;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0
0;-0.13776465786046596;-0.5895891979333434;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
0;0.8786514885822944;-0.043976098864452536;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
0;0.1394397457148323;-0.6631282802479279;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
0;-0.6921734650110625;-0.43737282670449323;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
1;-0.13776465786046596;-0.2960909978725631;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
1;-1.4313852078785245;-0.9148044264576668;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0
1;0.8786514885822944;-0.31292128099760314;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0
0;-0.507370529294197;-0.10502100969415497;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0
0;-1.5237866757369574;-0.9187771959366731;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0
0;0.23184121357326506;-0.5843721529402047;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
1;-0.41496906143576423;-0.03560551813301726;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
1;-1.338983740020092;-0.9148044264576668;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0
0;1.06345442429916;0.19557607353403017;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
